id,query,intent,difficulty,eval_focus,expected_docs,evidence_count,exact_hit@3,exact_hit@5,exact_mrr,exact_recall@3,exact_recall@5,fuzzy_hit@3,fuzzy_hit@5,fuzzy_mrr,fuzzy_recall@3,fuzzy_recall@5,best_match_rank,best_match_doc,best_match_score_containment,best_match_score_rouge_l,best_match_score_partial_ratio,matched_evidence_quote,retrieved_docs_top5,evidence_unit_total,evidence_unit_hit_count@3,evidence_unit_hit_count@5,evidence_unit_recall@3,evidence_unit_recall@5,evidence_group_any_hit@3,evidence_group_any_hit@5,evidence_group_full_hit@3,evidence_group_full_hit@5
eval_0001,新员工入职报到需要准备哪些材料？,人事与员工事务,simple,"retrieval,faithfulness",员工手册.pdf,1,False,False,0.1111,0.0,0.0,False,False,0.1111,0.0,0.0,9,员工手册.pdf,1.0,1.0,1.0,报到时需向公司提供：《录用通知书》、体检证明或健康证、《离职证明》原件、身份证原件及复印件、1寸彩色证件照、户口本原件及复印件、银行卡账户、学历证书原件及复印件、各类职称或技术等级证书原件及复印件。,员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf,1,0,0,0.0,0.0,False,False,False,False
eval_0002,试用期转正需要满足什么条件？,人事与员工事务,simple,"retrieval,faithfulness,procedure",员工手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,员工手册.pdf,1.0,1.0,1.0,员工需在试用期满前一周完成公司的入职培训考核、工作能力和业绩考核、价值观考核，考核合格的通过试用期并转正，考核不合格的公司可依法解除劳动合同。,员工手册.pdf | 员工手册.pdf | 钉钉考勤.pdf | 员工手册.pdf | 员工手册.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0003,公司的工作时间是怎样的？,人事与员工事务,simple,"retrieval,faithfulness",员工手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,员工手册.pdf,1.0,1.0,1.0,标准工时制(含非弹性工作时间和弹性工作时间两种)的工作时间为：星期一至星期五，9:00-18:00（包括午休1小时，午休时间不计入工作时间）。,员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0004,忘记打卡了怎么办？,人事与员工事务,medium,"retrieval,faithfulness",员工手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,员工手册.pdf,1.0,1.0,1.0,未打卡：员工没有在考勤系统亲自打卡，视为未打卡。员工须在当月考勤周期内及时提交未打卡说明，未提交合理的未打卡原因说明或/和相关支持性材料的，视为旷工。,员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 钉钉考勤.pdf | 统一门户账号与安全.md,1,1,1,1.0,1.0,True,True,True,True
eval_0005,试用期内辞职需要提前多久申请？转正后呢？,人事与员工事务,medium,"retrieval,faithfulness,condition",员工手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,员工手册.pdf,1.0,1.0,1.0,试用期内员工辞职应至少提前三日提出书面离职申请，转正后员工应至少提前三十日提出书面离职申请。,员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 钉钉考勤.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0006,什么情况下员工会被视为不符合录用条件？,人事与员工事务,medium,"retrieval,faithfulness,condition",员工手册.pdf,1,False,False,0.0,0.4783,0.4783,False,False,0.0,0.4783,0.4783,-1,员工手册.pdf,0.2726,0.2565,0.4721,员工存在以下情形的，将被视为不符合录用条件，公司可以通知员工解除劳动合同：4.1 不能按要求完成工作任务，或达不到岗位任职要求；4.2 在试用期满前，规定入职手续无法齐备的（包括但不限于在规定时间内提,员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf,23,11,11,0.4783,0.4783,True,True,False,False
eval_0007,员工申请内部调动需要满足什么条件？,人事与员工事务,hard,"retrieval,faithfulness,procedure",员工手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,员工手册.pdf,1.0,1.0,1.0,员工发起的调动：例如，员工参与公司内部竞聘等而发起的异动，员工需在原岗位上满足调动制度中规定的期限和绩效要求等（M/P/T/序列须在原岗位服务满12个月）。,员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 钉钉考勤.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0008,旷工多少天会被公司解除劳动合同？,人事与员工事务,simple,"retrieval,faithfulness,condition",员工手册.pdf,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,员工手册.pdf,1.0,1.0,1.0,员工连续旷工2天（含）及以上，或一年内累计旷工3天（含）及以上的，公司有权立即与员工解除劳动合同且不支付任何经济补偿。,员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf | 员工手册.pdf,1,1,1,1.0,1.0,True,True,True,True
eval_0009,第一次登录统一身份认证系统，账号怎么激活？,账号与统一门户,simple,"retrieval,faithfulness,procedure",统一门户账号与安全.md,1,True,True,0.3333,1.0,1.0,True,True,0.3333,1.0,1.0,3,统一门户账号与安全.md,1.0,1.0,1.0,按照页面提示输入学号/工号、姓名、证件类型、证件号码及页面验证码信息，完成后点击下一步。,统一门户账号与安全.md | 统一门户账号与安全.md | 统一门户账号与安全.md | OA系统使用手册.pdf | 统一门户账号与安全.md,1,1,1,1.0,1.0,True,True,True,True
eval_0010,忘记统一账号密码怎么找回？,账号与统一门户,simple,"retrieval,faithfulness,procedure",统一门户账号与安全.md,1,True,True,1.0,1.0,1.0,True,True,1.0,1.0,1.0,1,统一门户账号与安全.md,1.0,1.0,1.0,"统一身份认证平台为您提供了三种自助找回密码的方式，供您选择。01 首先需点击登录界面""忘记密码""按钮。",统一门户账号与安全.md | 统一门户账号与安全.md | 统一门户账号与安全.md | OA系统使用手册.pdf | 统一门户账号与安全.md,1,1,1,1.0,1.0,True,True,True,True
